"","blockNumber","gas","gasPrice","executionGas","callDataUsage","callDataLength","nonce","to","from","callDataUsageGroups"
"235",15627843,21000,9375745197,21000,0,2,3667,5.64823100423228e+47,4.90699997205491e+47,"0"
"236",15627843,21000,9375745197,21000,0,2,1102,5.64823100423228e+47,4.66350580735171e+47,"0"
"237",15627843,21000,9375745197,21000,0,2,2404,5.64823100423228e+47,5.5449859268555e+47,"0"
"238",15627843,21000,9375745197,21000,0,2,2614,5.64823100423228e+47,6.17948307923163e+47,"0"
"239",15627843,21000,9375745197,21000,0,2,1092,5.64823100423228e+47,1.01397473613868e+48,"0"
"240",15627843,21000,9375745197,21000,0,2,2256,5.64823100423228e+47,1.04631109424973e+48,"0"
"241",15627843,21000,9375745197,21000,0,2,2235,5.64823100423228e+47,2.60251279335758e+47,"0"
"242",15627843,21000,9375745197,21000,0,2,1090,5.64823100423228e+47,7.25632008777233e+47,"0"
"243",15627843,21000,9375745197,21000,0,2,2324,5.64823100423228e+47,5.29361868800451e+47,"0"
"244",15627843,21000,9375745197,21000,0,2,1123,5.64823100423228e+47,6.01368702483538e+47,"0"
"245",15627843,21000,9375745197,21000,0,2,1094,5.64823100423228e+47,9.66128558742631e+47,"0"
"246",15627843,21000,9375745197,21000,0,2,1105,5.64823100423228e+47,7.22714652151596e+47,"0"
"247",15627843,21000,9375745197,21000,0,2,1091,5.64823100423228e+47,1.27672498973887e+48,"0"
"248",15627843,21000,9375745197,21000,0,2,1116,5.64823100423228e+47,8.15479009427543e+47,"0"
"249",15627843,21000,9375745197,21000,0,2,1219,5.64823100423228e+47,8.28013711604288e+47,"0"
"250",15627843,21000,9375745197,21000,0,2,1112,5.64823100423228e+47,9.52960772890628e+47,"0"
"251",15627843,21000,9375745197,21000,0,2,1113,5.64823100423228e+47,6.80000193345956e+47,"0"
"252",15627843,21000,9375745197,21000,0,2,1098,5.64823100423228e+47,9.76280183545399e+47,"0"
"253",15627843,21000,9375745197,21000,0,2,4126,5.64823100423228e+47,1.05147914825667e+48,"0"
"254",15627843,21000,9375745197,21000,0,2,2250,5.64823100423228e+47,3.58170449315838e+47,"0"
"255",15627843,21000,9375745197,21000,0,2,3637,5.64823100423228e+47,5.53882772867834e+47,"0"
"256",15627843,21000,9375745197,21000,0,2,135,6.09695080429012e+47,1.40334887615142e+48,"0"
"257",15627843,21000,9375745197,21000,0,2,2264,5.64823100423228e+47,1.22302919167758e+48,"0"
"258",15627843,21000,9375745197,21000,0,2,2303,5.64823100423228e+47,1.33209153710721e+47,"0"
"259",15627843,21000,9375745197,21000,0,2,1103,5.64823100423228e+47,5.08623726970607e+47,"0"
"260",15627843,21000,9375745197,21000,0,2,2266,5.64823100423228e+47,4.99549100303166e+46,"0"
"261",15627843,21000,9375745197,21000,0,2,1102,5.64823100423228e+47,1.62150130472647e+47,"0"
"262",15627843,21000,9375745197,21000,0,2,2311,5.64823100423228e+47,4.94648062343922e+47,"0"
"263",15627843,21000,9375745197,21000,0,2,1106,5.64823100423228e+47,2.67404464547097e+46,"0"
"264",15627843,21000,9375745197,21000,0,2,2231,5.64823100423228e+47,1.06379351323079e+48,"0"
"265",15627843,21000,9375745197,21000,0,2,1104,5.64823100423228e+47,1.2718942846959e+48,"0"
"266",15627843,21000,9375745197,21000,0,2,33,8.0647437432434e+47,4.34968043190687e+47,"0"
"267",15627843,21000,9.26e+09,21000,0,2,8,1.39458106710985e+48,1.20318600975329e+48,"0"
"268",15627843,21000,9125538652,21000,0,2,171,9.33250187552739e+47,6.94258226461066e+47,"0"
"269",15627843,21000,9025745197,21000,0,2,66,6.13781880681082e+47,6.13781880681082e+47,"0"
